titre,objet,mot_cle
L'OUTIL EN MAIN DE VILLEFRANCHE-DE-ROUERGUE (O.E.M.),"initiation des jeunes aux métiers du patrimoine et aux métiers manuels, par des gens de métier, dans un cadre d'atelier ou tout autre lieu connexe ; son principe fondateur est de permettre aux jeunes de neuf à quatorze ans de s'initier aux métiers du patrimoine et aux métiers manuels ; l'association se devra d'être un lieu de rassemblement et d'échange entre les jeunes et les gens de métier et de permettre une prise de conscience de la nécessité de la transmission d'un savoir-faire aux jeunes générations ; l'association est apolitique et aconfessionnelle",main
L'ASSOCIATION POUR LA PROMOTION DES PRODUITS AGRICOLES ET AGRO-ALIMENTAIRES DE MIDI-PYRENEES ET DES REGIONS LIMITROPHES,"promotion et vente de produits agricoles et agro-alimentaires de Midi-Pyrénées et des régions limitrophes, par tout moyen et tout support ; défense et mise en avant du patrimoine gastronomique de l'Aveyron et recherche de la participation de tous à cette action ; contribuer à la sauvegarde des particularismes des produits agricoles et agro-alimentaires de Midi-Pyrénées et des régions limitrophes en assurant leur renommée et leur promotion auprès des consommateurs, et ce par tous moyens",midi
"TCHAT""O""BULLO","association destinée à l'enfance et l'animation : château gonflable avec trampoline et toboggan ; maquillage pour enfant ; sculpture sur ballon ; confiserie : barbe à papa ; animations lors de vides-greniers, anniversaires, comités d'entreprises, foires, fêtes etc",papa
GINKGO LE BISTRO DES ENFANTS,"créer, gérer et animer un café des enfants, un lieu convivial, ouvert à tous, dédié à l'enfant de 0 à 120 ans et son entourage ; encourager une mixité sociale, culturelle et intergénérationnelle à travers des possibilités de jeux libres, d'ateliers artistiques et de partage d'idées dans un cadre privilégié ; rompre l'isolement, favoriser la participation des habitants en tant qu'acteurs du lieu et détenteurs de savoirs, savoirs faire et savoirs être ; transmettre des valeurs de solidarité, de respect de l'environnement et d'ouverture sur le monde ; être un lieu de rencontre à vocation sociale dans le respect de la convention des droits de l'enfant, valorisant le respect de l'individu, l'autonomie et le dialogue ; être un lieu de vente de produits de préférence biologiques et / ou régionaux avec une activité de petite restauration ; développer des partenariats avec des acteurs culturels locaux",ouvert
ATOUT-POILS,apporter soins et entretien aux chiens et l'éducation des maîtres,atout
PRENDRE UN DOUDOU PAR LA MAIN,association pour les enfants qui ont serré fort leur Doudou et lutté contre la maladie ; pour ces enfants miraculés pour qui la vie restera un combat permanent ; pour ces enfants courageux et leurs parents qui ont et auront besoin de soutien ; pour ces enfants et leurs parents qui ne verront plus la vie de la même façon ; pour que la vie continue et que nous l'affrontions avec force et caractère mais plus jamais seul ; pour lutter ensemble face aux dégâts du purpura fulminans,main
LA BARREJAIRE,"gérer le site aux anciens fours à chaux, la gare, 12260 villeneuve (au lieu dit les fontanelles et surnommé la mélangeuse);
entretenir au niveau de son patrimoine bâti et non bâti, de la sécurité et de sa capacité d'accueil;
gérer les activités permanentes ou épisodiques s'y déroulant telles que l'habitat et la résidence, les activités de loisirs et professionnelles de natures artistique, artisanale, agricole et éducative, les activités épisodiques de construction, d'artisanat d'art, les événements et programmations de nature culturelle, politique, festive;
gérer l'immatériel (dématérialisation) et le concret des liens avec tous les autres lieux ou structures qu'il sera jugé utile d'établir (réseaux nationaux, européens et internationaux) ; le tout en accord avec la SCI la carrière et dans une démarche écologique, sobre, coopérative, d'éducation populaire, inscrite dans l'économie sociale et solidaire et dans l'expérimentation bienveillante des outils de la gouvernance partagée",gare
LES JARDINS DE MATOUNE,préserver et améliorer le sort des animaux,matoune
LES JARDINS D'ARDWEN,"diffuser des informations, organiser et proposer des activités autour du bien-être au naturel, du développement personnel : conférences, formations, rencontres, ateliers, stages, accompagnement etc ; promouvoir et développer la naturopathie, la sophrologie, les techniques de relaxation et tout ce qui se rapproche de près ou de loin à ces activités ; manifester ce qu'il y a de meilleur pour soi, les autres, la planète",loin
ASSOCIATION SCOLAIRE DE MORLHON,promouvoir les activites culturelles et sportives en faveur des enfants de l'ecole de morlhon ; gerer les fournitures scolaires,ecole
ANCIENS ELEVES DE L'ECOLE DE BOISSE-PENCHOT,retrouvailles des anciens élèves de l'école de Boisse-penchot,ecole
COMITE DES FETES ET D'ANIMATIONS DECAZEVILLOISES,organisation des festivités de la ville en septembre en s'efforçant de promouvoir des manifestations et animations à caractère populaire très marqué tout au long de l'année ; accompagnement de la municipalité ainsi que de diverses associations de la ville afin d'élaborer une oeuvre collective,long
COMITE D'ANIMATION CRANSACOIS,"animation et organisation de festivités culturelles, loisirs, fêtes pour faire vivre le village par le biais de diverses manifestations culturelles et festives tout au long de l'année pour partager des momenst entre la population, les curistes et les commerçants",long
ENDU'ROUERGUE,"pratique de la moto tout terrain en loisirs et compétitions, organisation de ballades et randonnées pour engins motorisés",endu
ROCARD - A COEUR VAILLANT RIEN D'IMPOSSIBLE,"organisation de soirées Afro trap universelles, de matchs de gala pour pouvoir récolter des fonds afin de venir en aide aux personnes défavorisées notamment des enfants dans les orphelinats mais aussi dans les prisons centrales basées au Cameroun dans les villes de Douala, Sangmelima et Bandjoun",cameroun
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PRIVEE DE FILLES DE SAINT-IGEST,grouper les chefs de famille ayant la garde des enfants inscrits à l'école ; soutien de l'école et des maîtres,ecole
L'ÉPICERIE À PAPOTE,"favoriser les échanges, le lien social et l'autonomie des personnes en milieu rural à travers un lieu ouvert à tous, convivial et ambulant, proposer des services de proximité répondant aux besoins des populations rurales isolées des commodités (épicerie, travaux de couture, coiffure etc), construire des ponts entre les différentes populations d'un territoire (faire du lien entre différentes zones géographiques, promouvoir les producteurs et les artisans locaux etc), proposer des activités culturelles et sociales ouvertes et accessibles à tous",ouvert
RICOCHET BANG BANG PRODUCTION RBBP,"production, organisation, création, diffusion et promotion d'événements, de spectacles, d'animations, duvres, d'ateliers, de stages, en lien avec le développement artistique, culturel, local, écologique, humaniste, inter culturel, intergénérationnel, mixité sociale, intégration du handicap et des publics fragiles, économie sociale et solidaire, pédagogies alternatives, développement durable, sauvegarde du patrimoine et tout domaine pertinent en accord avec la philosophie de l'association",bang
SEGAL'AIR12,"promouvoir, développer, informer et initier à la pratique de l'airsoft de manière légale, responsable et sécuritaire ; organiser et participer à des manifestations avec toutes les personnes, sociétés ou entreprises, désirant connaître cette activité et voulant la pratiquer dans un cadre légal, responsable et sécuritaire ; engager des actions promotionnelles et/ou commerciales permettant la réalisation de son objet",légal
BELLA' GIRLS,"l'association a pour but l'enseignement et le maniement du bâton, danses et défilés, pour enfants de plus 8 ans révolu et adultes ; 
Cette association a pour objet de promouvoir et de diffuser la pratique de l'activité « majorettes »  sous toutes ses formes : cette activité se manifestera notamment par l'organisation de cours et de stages de majorettes, de rencontres entre majorettes, de défilés,  spectacles et présentations et toute autre activité liée à la pratique de l'activité de majorettes ;",bella
L'ECOLE DES PONEYS,"sensibilisation et formation du public au bien-être des équidés, hébergement et gestion d'équidés, gestion de structures équestres, faire connaître le métier d'équicien, favoriser l'accès à l'équicie",ecole
CAMPUS DES MÉTIERS ET DES QUALIFICATIONS DE L'INDUSTRIE DU FUTUR,"administrer et valoriser les activités du campus ;structurer des parcours d'études les plus ambitieux possibles pour les jeunes et les adultes répondant aux attentes de compétences des entreprises; 
favoriser l'émergence de formations et solutions nouvelles répondant aux évolutions technologiques et organisationnelles des entreprises du secteur, ; développer la mobilité internationale des jeunes et des adultes, nécessaire dans une filière mondialisée ; fédérer, dans une recherche de synergie, les ressources et moyens des différents organismes de formation,  ; engager des actions améliorant la visibilité des parcours de formation, dans leur diversité, permettant une insertion professionnelle efficace et une adaptation des compétences tout au long de la vie,  ; promouvoir et contribuer au renforcement  de l'accueil de tous les jeunes et adultes engagés dans les parcours d'études proposés par le campus, au sein des organismes de formation et des entreprises ; développer des outils, ressources innovantes nécessaires à la formation qui feront l'objet de modalités de cession et d'usage définies au cas par cas ;",long
YOGA SONG,"transmettre et enseigner la pratique et la philosophie du yoga, en lien avec les principes d'enseignement de Patanjali",song
LA POTION LUDIQUE,"fédérer les gens de toutes générations autour du jeu de société, animer et mettre en place des initiations liées au jeu dans le cadre d'après-midi et de soirées à thèmes et de mettre en place une ludothèque destinée à permettre le prêt de jeux à domicile",midi
CENTRE D'ÉDUCATION CANINE - LA MAIN À LA PATTE,conseiller et guider ses adhérents dans l'éducation sociale de leur chien et l'apprentissage des règles de base nécessaires à l'insertion du chien dans la société ;,main
LA BANDE À BAZARS,"promouvoir l'agriculture paysanne et vivrière sur la ferme de Bazars ; préservation de l'écosystème du site Bazars ;  participation à la vie sociale et culturelle de l'environnement local ; promotion et soutien aux modes de fonctionnement associatifs, collectifs et égalitaires en milieu rural ;",bande
ACCOMPAGNEMENT FEMMES FORMATION INSERTION REVALORISATION MOBILISATION ÉCOUTE ÉGALITÉ (A.F.F.I.R.M.E.E.),"écouter ; revalorisation et accompagnement personnalisé dédié aux femmes victimes de violence (physique ou psychologique) ou d'exclusion sociale et/ou professionnelle, leur permettant d'aborder ensuite un parcours d'insertion réussi et de retrouver leur place de femme à part entière ; en zone rurale ou semi-rurale",semi
KAMI'MAJIN JAPAN ART AND SEA,"promouvoir les échanges culturels franco-japonais, promouvoir le manga français",manga
PASSION DOG AGILITY,conseiller et de guider ses adhérents dans l'évolution du sport canin qui est l'agility et d'assurer la promotion et la bonne pratique des activités canines reconnues par la Société Centrale Canine pour permettre le développement des aptitudes des différentes races afin que les chiens soient mieux en mesure de participer aux épreuves et concours organisés par la Société Centrale Canine et par ses membres,guider
DAWA,"promouvoir et diffuser du spectacle vivant, accessible à tous;
créer du lien social par le biais d'évènementiels, d'ateliers, de cours et de tous autres moyens qui paraitrons opportun à l'échange culturel",dawa
TOURIST AIRSOFT COMPANY,"promouvoir, développer, informer et initier à la pratique de l'airsoft de manière légale, responsable et sécuritaire;
organiser, participer à des manifestations avec toutes les personnes, sociétés ou entreprises, désirant connaître cette activité et voulant la pratiquer dans un cadre légal, responsable et sécuritaire;
engager des actions promotionnelles et ou commerciales permettant la réalisation de son objet;
organiser des parties grandeur nature et rôle play",company
